===============================================================================
Id,000001.XSHE,len,datetime,open,high,low,close,volume,openinterest,000001.XSHE,len,datetime,open,high,low,close,volume,openinterest,RSIMACDMultiTF,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,000001.XSHE,000001.XSHE
39,000001.XSHE,39,2018-03-02 23:59:59.999989,1379.33,1393.22,1371.23,1382.81,573062.0,0.0,000001.XSHE,39,2018-03-02 23:59:59.999989,1379.33,1393.22,1371.23,1382.81,573062.0,0.0,RSIMACDMultiTF,39,736755.9999999999,Broker,39,1000000.0,1000000.0,BuySell,39,,,BuySell,39,,,DataTrades,39,,
40,000001.XSHE,40,2018-03-05 23:59:59.999989,1380.49,1397.85,1365.45,1372.39,651754.0,0.0,000001.XSHE,40,2018-03-05 23:59:59.999989,1380.49,1397.85,1365.45,1372.39,651754.0,0.0,RSIMACDMultiTF,40,736758.9999999999,Broker,40,1000000.0,1000000.0,BuySell,40,,,BuySell,40,,,DataTrades,40,,
41,000001.XSHE,41,2018-03-06 23:59:59.999989,1382.81,1401.32,1361.98,1400.16,993953.0,0.0,000001.XSHE,41,2018-03-06 23:59:59.999989,1382.81,1401.32,1361.98,1400.16,993953.0,0.0,RSIMACDMultiTF,41,736759.9999999999,Broker,41,1000000.0,1000000.0,BuySell,41,,,BuySell,41,,,DataTrades,41,,
42,000001.XSHE,42,2018-03-07 23:59:59.999989,1405.95,1427.94,1393.22,1394.38,1233684.0,0.0,000001.XSHE,42,2018-03-07 23:59:59.999989,1405.95,1427.94,1393.22,1394.38,1233684.0,0.0,RSIMACDMultiTF,42,736760.9999999999,Broker,42,1000000.0,1000000.0,BuySell,42,,,BuySell,42,,,DataTrades,42,,
43,000001.XSHE,43,2018-03-08 23:59:59.999989,1394.38,1405.95,1382.81,1401.32,596076.0,0.0,000001.XSHE,43,2018-03-08 23:59:59.999989,1394.38,1405.95,1382.81,1401.32,596076.0,0.0,RSIMACDMultiTF,43,736761.9999999999,Broker,43,1000000.0,1000000.0,BuySell,43,,,BuySell,43,,,DataTrades,43,,
44,000001.XSHE,44,2018-03-09 23:59:59.999989,1405.95,1411.74,1386.28,1399.01,815684.0,0.0,000001.XSHE,44,2018-03-09 23:59:59.999989,1405.95,1411.74,1386.28,1399.01,815684.0,0.0,RSIMACDMultiTF,44,736762.9999999999,Broker,44,1000000.0,1000000.0,BuySell,44,,,BuySell,44,,,DataTrades,44,,
45,000001.XSHE,45,2018-03-12 23:59:59.999989,1405.95,1408.26,1382.81,1392.06,1096392.0,0.0,000001.XSHE,45,2018-03-12 23:59:59.999989,1405.95,1408.26,1382.81,1392.06,1096392.0,0.0,RSIMACDMultiTF,45,736765.9999999999,Broker,45,15835.0,990277.0,BuySell,45,1362.06785,,BuySell,45,,,DataTrades,45,,
46,000001.XSHE,46,2018-03-13 23:59:59.999989,1393.22,1414.05,1388.59,1390.91,935279.0,0.0,000001.XSHE,46,2018-03-13 23:59:59.999989,1393.22,1414.05,1388.59,1390.91,935279.0,0.0,RSIMACDMultiTF,46,736766.9999999999,Broker,46,15835.0,989472.0,BuySell,46,,,BuySell,46,,,DataTrades,46,,
47,000001.XSHE,47,2018-03-14 23:59:59.999989,1386.28,1388.59,1368.92,1379.33,549271.0,0.0,000001.XSHE,47,2018-03-14 23:59:59.999989,1386.28,1388.59,1368.92,1379.33,549271.0,0.0,RSIMACDMultiTF,47,736767.9999999999,Broker,47,15835.0,981366.0,BuySell,47,,,BuySell,47,,,DataTrades,47,,
48,000001.XSHE,48,2018-03-15 23:59:59.999989,1364.29,1371.23,1349.25,1355.03,998734.0,0.0,000001.XSHE,48,2018-03-15 23:59:59.999989,1364.29,1371.23,1349.25,1355.03,998734.0,0.0,RSIMACDMultiTF,48,736768.9999999999,Broker,48,15835.0,964356.0,BuySell,48,,,BuySell,48,,,DataTrades,48,,
