===============================================================================
Id,000012.XSHE,len,datetime,open,high,low,close,volume,openinterest,,len,datetime,open,high,low,close,volume,openinterest,PivotMultiTF,len,datetime,LinesCoupler_6,len,p,s1,s2,r1,r2,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,000012.XSHE,
342,000012.XSHE,342,2019-05-31 23:59:59.999989,130.91,134.62,130.91,133.19,251875.0,0.0,,16,2019-04-30 23:59:59.999989,159.2,169.21,135.48,140.05,12726291.0,0.0,PivotMultiTF,342,737210.9999999999,LinesCoupler_6,342,148.24666666666667,127.28333333333333,114.51666666666665,161.01333333333335,181.9766666666667,Broker,342,1211500.85,1211500.85,BuySell,342,,,BuySell,16,,,DataTrades,342,,
343,000012.XSHE,343,2019-06-03 23:59:59.999989,132.62,133.76,130.05,130.62,297113.0,0.0,,17,2019-05-31 23:59:59.999989,138.62,138.62,129.19,133.19,6225364.0,0.0,PivotMultiTF,343,737213.9999999999,LinesCoupler_6,343,148.24666666666667,127.28333333333333,114.51666666666665,161.01333333333335,181.9766666666667,Broker,343,1211500.85,1211500.85,BuySell,343,,,BuySell,17,,,DataTrades,343,,
344,000012.XSHE,344,2019-06-04 23:59:59.999989,130.62,131.19,128.62,129.19,208134.0,0.0,,17,2019-05-31 23:59:59.999989,138.62,138.62,129.19,133.19,6225364.0,0.0,PivotMultiTF,344,737214.9999999999,LinesCoupler_6,344,133.66666666666666,128.7133333333333,124.23666666666665,138.14333333333332,143.09666666666666,Broker,344,1211500.85,1211500.85,BuySell,344,,,BuySell,17,,,DataTrades,344,,
345,000012.XSHE,345,2019-06-05 23:59:59.999989,130.05,130.91,128.62,128.62,206332.0,0.0,,17,2019-05-31 23:59:59.999989,138.62,138.62,129.19,133.19,6225364.0,0.0,PivotMultiTF,345,737215.9999999999,LinesCoupler_6,345,133.66666666666666,128.7133333333333,124.23666666666665,138.14333333333332,143.09666666666666,Broker,345,1211500.85,1211500.85,BuySell,345,,,BuySell,17,,,DataTrades,345,,
346,000012.XSHE,346,2019-06-06 23:59:59.999989,128.33,128.62,122.9,124.05,373825.0,0.0,,17,2019-05-31 23:59:59.999989,138.62,138.62,129.19,133.19,6225364.0,0.0,PivotMultiTF,346,737216.9999999999,LinesCoupler_6,346,133.66666666666666,128.7133333333333,124.23666666666665,138.14333333333332,143.09666666666666,Broker,346,1211500.85,1211500.85,BuySell,346,,,BuySell,17,,,DataTrades,346,,
347,000012.XSHE,347,2019-06-10 23:59:59.999989,124.05,126.05,124.05,124.62,183331.0,0.0,,17,2019-05-31 23:59:59.999989,138.62,138.62,129.19,133.19,6225364.0,0.0,PivotMultiTF,347,737220.9999999999,LinesCoupler_6,347,133.66666666666666,128.7133333333333,124.23666666666665,138.14333333333332,143.09666666666666,Broker,347,1211500.85,1211500.85,BuySell,347,,,BuySell,17,,,DataTrades,347,,
348,000012.XSHE,348,2019-06-11 23:59:59.999989,130.05,135.76,130.05,134.91,766170.0,0.0,,17,2019-05-31 23:59:59.999989,138.62,138.62,129.19,133.19,6225364.0,0.0,PivotMultiTF,348,737221.9999999999,LinesCoupler_6,348,133.66666666666666,128.7133333333333,124.23666666666665,138.14333333333332,143.09666666666666,Broker,348,1211500.85,1211500.85,BuySell,348,,,BuySell,17,,,DataTrades,348,,
349,000012.XSHE,349,2019-06-12 23:59:59.999989,132.33,134.62,131.76,132.05,503964.0,0.0,,17,2019-05-31 23:59:59.999989,138.62,138.62,129.19,133.19,6225364.0,0.0,PivotMultiTF,349,737222.9999999999,LinesCoupler_6,349,133.66666666666666,128.7133333333333,124.23666666666665,138.14333333333332,143.09666666666666,Broker,349,33763.85000000009,1209008.85,BuySell,349,129.78359999999998,,BuySell,17,,,DataTrades,349,,
350,000012.XSHE,350,2019-06-13 23:59:59.999989,131.48,132.91,130.33,131.76,323464.0,0.0,,17,2019-05-31 23:59:59.999989,138.62,138.62,129.19,133.19,6225364.0,0.0,PivotMultiTF,350,737223.9999999999,LinesCoupler_6,350,133.66666666666666,128.7133333333333,124.23666666666665,138.14333333333332,143.09666666666666,Broker,350,33763.85000000009,1206427.85,BuySell,350,,,BuySell,17,,,DataTrades,350,,
351,000012.XSHE,351,2019-06-14 23:59:59.999989,131.76,133.48,128.33,128.62,344253.0,0.0,,17,2019-05-31 23:59:59.999989,138.62,138.62,129.19,133.19,6225364.0,0.0,PivotMultiTF,351,737224.9999999999,LinesCoupler_6,351,133.66666666666666,128.7133333333333,124.23666666666665,138.14333333333332,143.09666666666666,Broker,351,33763.85000000009,1178481.85,BuySell,351,,,BuySell,17,,,DataTrades,351,,
